region,date,confirmed
Gyeonggi-do,03-11,175
Gangwon-do,03-11,29
Chungcheongbuk-do,03-11,27
Chungcheongnam-do,03-11,112
Jeollabuk-do,03-11,7
Jeollanam-do,03-11,4
Gyeongsangnam-do,03-11,84
Jeju-do,03-11,4
Daegu,03-11,5794
Gyeongsangbuk-do,03-11,1135
Seoul,03-12,212
Busan,03-12,99
Incheon,03-12,25
Gwangju,03-12,15
Daejeon,03-12,20
Ulsan,03-12,25
Sejong,03-12,15
Gyeonggi-do,03-12,178
Gangwon-do,03-12,29
Chungcheongbuk-do,03-12,27
Chungcheongnam-do,03-12,114
Jeollabuk-do,03-12,7
Jeollanam-do,03-12,4
Gyeongsangnam-do,03-12,85
Jeju-do,03-12,4
Daegu,03-12,5867
Gyeongsangbuk-do,03-12,1143
Seoul,03-13,225
Busan,03-13,100
Incheon,03-13,27
Gwangju,03-13,15
Daejeon,03-13,22
Ulsan,03-13,27
Sejong,03-13,32
Gyeonggi-do,03-13,185
Gangwon-do,03-13,29
Chungcheongbuk-do,03-13,27
Chungcheongnam-do,03-13,115
Jeollabuk-do,03-13,7
Jeollanam-do,03-13,4
Gyeongsangnam-do,03-13,85
Jeju-do,03-13,4
Daegu,03-13,5928
Gyeongsangbuk-do,03-13,1147
